modid,filename,timestamp,date,hash
sodium,sodium-1.17.1-v1.jar,1701834034,2023-12-05,548715ea21336fc73a9a3941d4528e2106e2bd2e5ca3be0a7b0761404d88f0920cb74352ec705d624c6b4c87862ebbe88e0ec2754b113447b017029a599a4b25
sodium,sodium-fabric-mc1.18.1-0.4.0-alpha6%2Bbuild.14.jar,1701834034,2023-12-05,8a63bfb819930c5cb470664cc6a266e9478fc1219e34307058e3111ef9e400ccf14adbe31ed705f70d682199640540d7e896965b6fe5e69bce543e475ccc7fbf
sodium,sodium-fabric-mc1.18-0.4.0-alpha5%2Bbuild.9.jar,1701834034,2023-12-05,dc1bcac9330388b43bfb81eabfa36d1ff15efb3009460b3b1fb290feb70e52a55f726ad93fc09b1c9186ced595f8478fbef762ae1f5144568536e4c26f5464d6
sodium,sodium-fabric-mc1.19.3-0.4.9%2Bbuild.23.jar,1701834034,2023-12-05,f2d75f2ca519e1949cdd6e95cb855895c554f085796dca616680f3f0ea74f9dedb9114264b2cf867f4904640548cb41626e8059b0008ea39cf967feb59876316
sodium,sodium-fabric-mc1.20.1-0.5.3.jar,1701834034,2023-12-05,989dffbf494030a09d69004ff761aadd130ac1fbdd26d640c1dccb5dae6a48db24de812bdf75ae7ba373e8bbdd668300884f35f9ad85b25f168619e33218279b
sodium,sodium-fabric-mc1.20.2-0.5.4.jar,1701834034,2023-12-05,56107e4ad106d543a903d342a83115240f3c7f1d9eebf22a90fd3baede7172dd27fcb22c2cb76e5d606c1e8bd04b1c19c1ca4916596d940c1326d4ab69168288
sodium,sodium-fabric-mc1.20-0.4.10%2Bbuild.27.jar,1701834034,2023-12-05,9aef1bde780a608724bc707e2124907a12399ea118dc4dbc70efe6234ec8f13ab7bd53ebaab424d8cf91eab98934be7e8f175bf615820d4ee3a08ec0f925964f
sodium,sodium-fabric-mc1.20.3-0.5.4.jar,1701834034,2023-12-05,50649720a6d60fe2d998634eb8740924350a8369ad0daf5664b4a11dcb162555885f27e2339b0dcc69c0521fda1a9f50226a27d253c6eeb4aa5dfa468432b214
sodium,sodium-1.18.2-v1.jar,1701834034,2023-12-05,628f94808a93d9a47c55d93a284ffd253aff974248bddf043a46b518fe5742f1173493f772e694bcdd0d5af7f0d7d4cd34f4fc98beb73c697ec37e30a95e881b
sodium,sodium-fabric-mc1.19.2-0.4.4%2Bbuild.18.jar,1701834034,2023-12-05,8fbe5ada5c45efd56596bcf0c5d93d7a7264f60263289626e9d2b0ba3b3ccc914af2d9f856596a724df675804e9766a3d890d1731957fe960c58a45f0533b34e
sodium,sodium-fabric-mc1.19.4-0.4.10%2Bbuild.24.jar,1701834034,2023-12-05,61562626870aa4067657d2687d1fce80fb7d62af32fd68a22708e24ee5b84b39d16b26ccf4db8f53f2da42ba1916d6a5e11efc476cb5c2a8644207659fd5dfef
antiresourcereload,antiresourcereload-1.16.5-1.0.0.jar,1701834034,2023-12-05,53ac40d8de0392aa30dab9873cd088be8e95ffc6afa0ab827bf0a0703567081eb2a2f891e4f39e920f43e36916c449f7cdd146ebf8328db83ea0ad9f4a1ec9d0
antiresourcereload,antiresourcereload-1.17.1-1.0.0.jar,1701834034,2023-12-05,6d36b3249b3da2fe9c1b1a37fc8b8297488f54bfabe224f8ee2e7180e521d092ef70428743f4aa925cad213dc0b6cb36b9a7ac6ee2646f0946047d94693e3ef9
antiresourcereload,antiresourcereload-1.16.1-4.0.0.jar,1701834034,2023-12-05,8f295ba3346d2ccc7a72f579ca1c373cc84f72c86dadb1bebee0146d86576415add1cf3308aba3aa14fcdc12711fba360915071941d37eb6dcbba68664a19d68
lazydfu,lazydfu-0.1.2.jar,1701834034,2023-12-05,20b1cd3e62051c7d7498ecdc49912acb918fc4748d469c67c078cc97197289760e64b9339a4d4a03d175f648c8be8601d131776a9a6bdb8832cecdda6fc46498
lazydfu,lazydfu-0.1.3.jar,1701834034,2023-12-05,dc3766352c645f6da92b13000dffa80584ee58093c925c2154eb3c125a2b2f9a3af298202e2658b039c6ee41e81ca9a2e9d4b942561f7085239dd4421e0cce0a
sleepbackground,sleepbackground-3.8-1.19.x.jar,1701834034,2023-12-05,1677569d340a60b5f76be9fe16fcdea6530c8945f348f6801db4841cca9eff1a957a51ccc3ebbc2aee3040e24029aefc94fbaa7f0fa3add0cd253805ff32f9e0
sleepbackground,sleepbackground-3.8-1.7.x.jar,1701834034,2023-12-05,8775d5f78d850195e3ce6014b135efae941a14b824b26996fbd3a125fa4ff845900b1c17ebb0b412fd04fb0b97aaab8ec0569276af4b0d063750ba29a005d9f7
sleepbackground,sleepbackground-3.8-1.8.x-1.12.x.jar,1701834034,2023-12-05,fb07c39b98ed50aeda669b0a011c37f4c07bb3996dc4b10a687802eebe97433a93733dc5da6bf9fcb02e6e6c611f07c00962f9c2dca75f41abb8d4e572f0715d
sleepbackground,sleepbackground-3.8-1.14.x.jar,1701834034,2023-12-05,4ced80364c24b5fddea927d6887a106f4f18857d7531cbab7769aa06217c0aba1391823f72559d49290cffaabec048b0494cb1f1a1c3715279dde77d1977362b
sleepbackground,sleepbackground-3.8-1.13.x.jar,1701834034,2023-12-05,e61bda6e024fbbff3bdeeba20a33e0caf6384e42cbbe4c010835033f0ec1f84c1f948a0816258a2702ca21572598d9dfba7edf3aea6c9c3e7a30978ab92039d0
sleepbackground,sleepbackground-3.8-1.15.x.jar,1701834034,2023-12-05,481bf29e3704231bd3142f4b25a28d981324355f16ec89c75366b959e4e668be352e819bf82b1f6670c4f78f77cb2bd2c28836ddd7e331474ecb57f427f05b6f
sleepbackground,sleepbackground-3.8-1.16.x-1.18.x.jar,1701834034,2023-12-05,47a1e03c14ecd0938ef61568b1a3ef95859aa092c43ef3c90f30e27c72bf46907365ea4278589dce4ea808ffcacf4bca0284d7dff17b6591246a0b1d73a2eb02
atum,atum-1.1.3+1.16.5.jar,1701834034,2023-12-05,57ba7e06665305ab31cf467c5ad9011053aef9d10c348c4b2d2716a202b9c615ccbf581c1dfdf5d8b96b52b062706f3a58794098ac5869011ac51d87373a8226
atum,atum-1.1.3+1.17.1.jar,1701834034,2023-12-05,7fab662939fa14b876aa84d01f613d421d35a5ea71af849749e99dec2e0304df291af6b8f0f1fed31940ba10c155216ff18d7b4c236cd4d53e975261ebecf6b9
